design,time,fpn,expedience,variability,average,max_fall,max_rise,range
95,17,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,17,2.9257,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,17,2.4356,0.70847,456.68,13.541,-27.651,29.322,30.173
112,17,1.6244,0.74787,463.48,12.868,-31.143,30.541,32.173
127,17,0,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,17,5.00E-05,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,17,4.7501,0.5275,212.23,11.393,-12.338,11.931,13.777
175,17,1.0942,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,17,5.5225,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,17,0.0077163,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,17,0.27981,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,17,13.504,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,17,6.3193,0.5801,501.46,20.752,-29.745,29.26,31.765
207,17,2.2878,0.65242,381.94,12.024,-23.758,22.33,23.758
208,17,7.1939,0.65475,296.69,13.983,-19.137,17.23,20.271
222,17,0.28908,0.66278,309.56,8.002,-17.999,17.9,17.999
223,17,9.21E-05,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,17,5.9683,0.344,201.18,3.2058,-15.492,16.282,16.282
239,17,2.649,0.69656,513.61,15.111,-30.241,32.407,33.21
240,17,1.86,0.72106,523.99,14.969,-33.957,31.725,34.935
255,17,0.38161,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,17,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,17,6.0608,0.52716,214.38,12.574,-12.338,12.338,13.827
303,17,1.8665,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,17,6.9034,0.60541,177.16,10.46,-12.084,12.084,14
318,17,0.41339,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,17,1.45,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,17,15.61,0.36095,268.5,8.307,-14.491,14.524,16.334
328,17,8.975,0.58558,513.05,22.612,-32.025,32.025,32.025
335,17,3.5832,0.6486,411.87,13.768,-24.728,23.384,25.483
336,17,7.4187,0.64693,350.06,15.903,-21.837,20.582,22.921
351,17,9.21E-05,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,17,6.0355,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,17,2.8379,0.68952,576.9,16.734,-33.305,35.515,36.276
368,17,2.0699,0.69669,581.45,16.796,-36.012,34.853,36.944
383,17,0.7686,0.72065,349.83,8.272,-23.269,22.959,23.406
384,17,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,20,13.19,0.53011,211.42,10.151,-12.339,11.448,13.727
47,20,4.7683,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
