design_id,weight,pax,cargo,lio_depth,lio_type,pwr_source,prop_type,mod,combine_score,msn1_score,msn2_score,msn3_score,cost,range,max_speed,endurance_speed,fpn,fpn1,fpn2,fpn3
1840,28000,4,50,120,4,1,2,300,0.818,0.784,0.840,0.762,20.19,194,11,6,5.77,8.49,2.73,0.74
1841,28000,4,50,120,4,1,2,800,0.769,0.711,0.781,0.684,21.57,152,11,5,11.13,13.83,12.05,8
1842,28000,4,50,120,4,1,2,150,0.754,0.660,0.710,0.434,18.9,215,11,6,4.75,6.75,5.04,8.45
1843,28000,4,50,120,4,2,1,300,0.788,0.744,0.813,0.752,29.37,159,16,5,31.2,21.14,24.69,22.25
1844,28000,4,50,120,4,2,1,800,0.755,0.693,0.769,0.680,29.77,139,15,5,35.15,27.53,29.95,27.12
1845,28000,4,50,120,4,2,1,150,0.714,0.607,0.674,0.420,27.28,165,16,5,30.58,31.09,29.1,35.23
1846,28000,4,50,120,4,2,2,300,0.821,0.789,0.843,0.763,29.44,199,17,6,26.86,21.08,24.95,21
1847,28000,4,50,120,4,2,2,800,0.787,0.736,0.797,0.691,29.84,174,17,6,31.41,22.63,26.5,27.39
1848,28000,4,50,120,4,2,2,150,0.747,0.653,0.704,0.432,27.34,207,18,6,26.24,27.28,26.9,35.45
1849,28000,4,50,120,5,1,1,300,0.821,0.811,0.926,0.880,22.66,144,10,5,14.18,9.15,2.4,2.41
1851,28000,4,50,120,5,1,1,150,0.755,0.687,0.796,0.552,21.34,161,10,5,10.23,12.94,9.78,12.21
1852,28000,4,50,120,5,1,2,300,0.842,0.839,0.947,0.888,22.28,163,11,6,12.71,7.67,0.93,0.93
1854,28000,4,50,120,5,1,2,150,0.779,0.716,0.819,0.560,20.81,183,11,6,8.18,10.89,6.14,10.16
1855,28000,4,50,120,5,2,1,300,0.828,0.820,0.934,0.883,32.31,151,16,5,26.03,22.38,19.55,13.13
1857,28000,4,50,120,5,2,1,150,0.755,0.684,0.797,0.551,30.32,157,16,5,35.54,28.6,28.36,32.09
1858,28000,4,50,120,5,2,2,300,0.861,0.864,0.964,0.894,32.39,188,17,6,21.69,16.87,14.77,11.88
1860,28000,4,50,120,5,2,2,150,0.788,0.729,0.827,0.563,30.39,196,17,6,31.2,24.76,27.51,32.35
1861,28000,4,50,120,6,1,1,300,0.821,0.816,0.940,0.900,22.41,135,10,5,13.21,8.18,1.44,0.75
1863,28000,4,50,120,6,1,1,150,0.755,0.691,0.810,0.571,21.11,151,10,5,9.34,12.05,7.51,11.32
1864,28000,4,50,120,6,1,2,300,0.840,0.840,0.960,0.907,22.04,152,11,5,11.78,6.75,0,0
