L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,Prof,MAU1,MAU2,CAPEX
180,30,11,400,350,15000,600,0,0,1,1,1967.5,21.099,0.75058,0.7897,276.63
120,35,11,400,350,15000,600,0,0,1,1,1167.9,22.049,0.78079,0.7156,250.12
140,35,11,400,350,15000,600,0,0,1,1,1613,21.495,0.76326,0.75333,265.58
160,35,11,400,350,15000,600,0,0,1,1,2068.8,20.941,0.74547,0.77276,281.05
180,35,11,400,350,15000,600,0,0,1,1,2534,20.386,0.72743,0.78251,296.51
160,25,14,400,350,15000,600,0,0,1,1,1102.8,21.344,0.75843,0.77669,269.8
180,25,14,400,350,15000,600,0,0,1,1,1417.2,20.84,0.74221,0.78713,283.86
140,30,14,400,350,15000,600,0,0,1,1,1197.9,21.142,0.75197,0.74994,275.42
160,30,14,400,350,15000,600,0,0,1,1,1578.7,20.537,0.73238,0.76869,292.29
180,30,14,400,350,15000,600,0,0,1,1,1967.5,19.933,0.71246,0.77773,309.16
120,35,14,400,350,15000,600,0,0,1,1,1167.9,21.142,0.75197,0.70706,275.42
140,35,14,400,350,15000,600,0,0,1,1,1613,20.437,0.72908,0.74286,295.1
160,35,14,400,350,15000,600,0,0,1,1,2068.8,19.731,0.70574,0.76016,314.78
180,35,14,400,350,15000,600,0,0,1,1,2534,19.026,0.68194,0.76761,334.46
160,25,8,600,350,15000,600,0,0,1,1,1099.9,23.071,0.82793,0.79219,226.31
180,25,8,600,350,15000,600,0,0,1,1,1414.3,22.783,0.81908,0.80513,234.35
140,30,8,600,350,15000,600,0,0,1,1,1194.9,22.956,0.8244,0.76642,229.53
160,30,8,600,350,15000,600,0,0,1,1,1575.7,22.611,0.81373,0.78827,239.17
180,30,8,600,350,15000,600,0,0,1,1,1964.5,22.265,0.80299,0.8006,248.8
120,35,8,600,350,15000,600,0,0,1,1,1164.9,22.956,0.8244,0.72354,229.53
140,35,8,600,350,15000,600,0,0,1,1,1610,22.553,0.81195,0.76296,240.77
160,35,8,600,350,15000,600,0,0,1,1,2065.8,22.15,0.79938,0.78419,252.02
180,35,8,600,350,15000,600,0,0,1,1,2531.1,21.747,0.78669,0.79588,263.26
160,25,11,600,350,15000,600,0,0,1,1,1099.9,22.208,0.80118,0.78471,250.41
180,25,11,600,350,15000,600,0,0,1,1,1414.3,21.812,0.78874,0.79648,261.46
140,30,11,600,350,15000,600,0,0,1,1,1194.9,22.049,0.79622,0.75848,254.83
160,30,11,600,350,15000,600,0,0,1,1,1575.7,21.574,0.78121,0.77889,268.08
180,30,11,600,350,15000,600,0,0,1,1,1964.5,21.099,0.76601,0.7897,281.34
120,35,11,600,350,15000,600,0,0,1,1,1164.9,22.049,0.79622,0.7156,254.83
140,35,11,600,350,15000,600,0,0,1,1,1610,21.495,0.77869,0.75333,270.29
160,35,11,600,350,15000,600,0,0,1,1,2065.8,20.941,0.7609,0.77276,285.76
180,35,11,600,350,15000,600,0,0,1,1,2531.1,20.386,0.74286,0.78251,301.22
160,25,14,600,350,15000,600,0,0,1,1,1099.9,21.344,0.77386,0.77669,274.51
180,25,14,600,350,15000,600,0,0,1,1,1414.3,20.84,0.75764,0.78713,288.57
140,30,14,600,350,15000,600,0,0,1,1,1194.9,21.142,0.7674,0.74994,280.13
160,30,14,600,350,15000,600,0,0,1,1,1575.7,20.537,0.74781,0.76869,297
180,30,14,600,350,15000,600,0,0,1,1,1964.5,19.933,0.72789,0.77773,313.87
120,35,14,600,350,15000,600,0,0,1,1,1164.9,21.142,0.7674,0.70706,280.13
140,35,14,600,350,15000,600,0,0,1,1,1610,20.437,0.74451,0.74286,299.81
160,35,14,600,350,15000,600,0,0,1,1,2065.8,19.731,0.72118,0.76016,319.49
180,35,14,600,350,15000,600,0,0,1,1,2531.1,19.026,0.69737,0.76761,339.17
160,25,8,800,350,15000,600,0,0,1,1,1097.4,23.071,0.84336,0.79219,231.02
180,25,8,800,350,15000,600,0,0,1,1,1411.8,22.783,0.83451,0.80513,239.05
140,30,8,800,350,15000,600,0,0,1,1,1192.4,22.956,0.83983,0.76642,234.23
160,30,8,800,350,15000,600,0,0,1,1,1573.3,22.611,0.82917,0.78827,243.87
180,30,8,800,350,15000,600,0,0,1,1,1962.1,22.265,0.81842,0.8006,253.51
120,35,8,800,350,15000,600,0,0,1,1,1162.4,22.956,0.83983,0.72354,234.23
140,35,8,800,350,15000,600,0,0,1,1,1607.6,22.553,0.82738,0.76296,245.48
160,35,8,800,350,15000,600,0,0,1,1,2063.3,22.15,0.81481,0.78419,256.73
180,35,8,800,350,15000,600,0,0,1,1,2528.6,21.747,0.80212,0.79588,267.97
160,25,11,800,350,15000,600,0,0,1,1,1097.4,22.208,0.81662,0.78471,255.12
180,25,11,800,350,15000,600,0,0,1,1,1411.8,21.812,0.80417,0.79648,266.16
140,30,11,800,350,15000,600,0,0,1,1,1192.4,22.049,0.81165,0.75848,259.54
160,30,11,800,350,15000,600,0,0,1,1,1573.3,21.574,0.79664,0.77889,272.79
180,30,11,800,350,15000,600,0,0,1,1,1962.1,21.099,0.78144,0.7897,286.05
