design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,ROI,MAU1,MAU2,CAPEX
22,180,30,11,600,250,15000,600,0,0,1,1,2164.5,0.040426,0.34971,0.37518,279.73
22.1,120,35,11,600,250,15000,600,0,0,1,1,1364.9,0.052074,0.41588,0.38612,253.22
22.2,140,35,11,600,250,15000,600,0,0,1,1,1810,0.045,0.37661,0.37628,268.69
22.3,160,35,11,600,250,15000,600,0,0,1,1,2265.8,0.038696,0.3392,0.35927,284.15
22.4,180,35,11,600,250,15000,600,0,0,1,1,2731.1,0.033042,0.30354,0.3393,299.61
22.5,120,20,14,600,250,15000,600,0,0,1,1,371.13,0.06572,0.51854,0.40851,227.92
22.6,140,20,14,600,250,15000,600,0,0,1,1,603.05,0.059299,0.45333,0.43774,239.17
22.7,160,20,14,600,250,15000,600,0,0,1,1,840.52,0.053454,0.42324,0.42586,250.41
22.8,180,20,14,600,250,15000,600,0,0,1,1,1082.9,0.048112,0.39422,0.41035,261.66
22.9,120,25,14,600,250,15000,600,0,0,1,1,691.13,0.056309,0.43814,0.40402,244.79
23,140,25,14,600,250,15000,600,0,0,1,1,991.9,0.049404,0.40138,0.39596,258.85
23.1,160,25,14,600,250,15000,600,0,0,1,1,1299.9,0.04321,0.36623,0.38048,272.9
23.2,180,25,14,600,250,15000,600,0,0,1,1,1614.3,0.037622,0.33259,0.3618,286.96
23.3,120,30,14,600,250,15000,600,0,0,1,1,1022.9,0.048112,0.39422,0.36882,261.66
23.4,140,30,14,600,250,15000,600,0,0,1,1,1394.9,0.040907,0.3526,0.35736,278.53
23.5,160,30,14,600,250,15000,600,0,0,1,1,1775.7,0.034525,0.3131,0.33899,295.4
23.6,180,30,14,600,250,15000,600,0,0,1,1,2164.5,0.028833,0.27558,0.31787,312.26
23.7,120,35,14,600,250,15000,600,0,0,1,1,1364.9,0.040907,0.3526,0.33592,278.53
23.8,140,35,14,600,250,15000,600,0,0,1,1,1810,0.033532,0.30672,0.32165,298.21
23.9,160,35,14,600,250,15000,600,0,0,1,1,2265.8,0.02707,0.26348,0.30099,317.89
24,180,35,14,600,250,15000,600,0,0,1,1,2731.1,0.021361,0.22264,0.27801,337.57
24.1,120,20,8,800,250,15000,600,0,0,1,1,368.67,0.082779,0.61016,0.46228,203.71
24.2,140,20,8,800,250,15000,600,0,0,1,1,600.59,0.078081,0.59109,0.49107,210.14
24.3,160,20,8,800,250,15000,600,0,0,1,1,838.06,0.073661,0.57237,0.50213,216.56
24.4,180,20,8,800,250,15000,600,0,0,1,1,1080.5,0.069497,0.55399,0.50411,222.99
24.5,120,25,8,800,250,15000,600,0,0,1,1,688.67,0.075838,0.58169,0.44128,213.35
24.6,140,25,8,800,250,15000,600,0,0,1,1,989.44,0.070515,0.55855,0.46725,221.38
24.7,160,25,8,800,250,15000,600,0,0,1,1,1297.4,0.065566,0.53594,0.47567,229.42
24.8,180,25,8,800,250,15000,600,0,0,1,1,1611.8,0.060951,0.51384,0.47517,237.45
24.9,120,30,8,800,250,15000,600,0,0,1,1,1020.5,0.069497,0.55399,0.42105,222.99
25,140,30,8,800,250,15000,600,0,0,1,1,1392.4,0.063682,0.52704,0.44446,232.63
25.1,160,30,8,800,250,15000,600,0,0,1,1,1773.3,0.058329,0.46049,0.44619,242.27
25.2,180,30,8,800,250,15000,600,0,0,1,1,2162.1,0.053386,0.4349,0.43326,251.91
25.3,120,35,8,800,250,15000,600,0,0,1,1,1362.4,0.063682,0.52704,0.40158,232.63
25.4,140,35,8,800,250,15000,600,0,0,1,1,1807.6,0.057478,0.45617,0.4303,243.87
25.5,160,35,8,800,250,15000,600,0,0,1,1,2263.3,0.051822,0.42654,0.41888,255.12
25.6,180,35,8,800,250,15000,600,0,0,1,1,2728.6,0.046643,0.39795,0.40379,266.37
25.7,120,20,11,800,250,15000,600,0,0,1,1,368.67,0.072597,0.56774,0.43107,218.17
25.8,140,20,11,800,250,15000,600,0,0,1,1,600.59,0.067014,0.54267,0.45573,227.01
25.9,160,20,11,800,250,15000,600,0,0,1,1,838.06,0.061849,0.51822,0.46293,235.84
26,180,20,11,800,250,15000,600,0,0,1,1,1080.5,0.057057,0.45402,0.44865,244.68
26.1,120,25,11,800,250,15000,600,0,0,1,1,688.67,0.064382,0.53037,0.40397,231.42
26.2,140,25,11,800,250,15000,600,0,0,1,1,989.44,0.058222,0.45995,0.43335,242.47
26.3,160,25,11,800,250,15000,600,0,0,1,1,1297.4,0.052599,0.43071,0.42222,253.51
26.4,180,25,11,800,250,15000,600,0,0,1,1,1611.8,0.047445,0.40248,0.40739,264.56
26.5,120,30,11,800,250,15000,600,0,0,1,1,1020.5,0.057057,0.45402,0.40712,244.68
26.6,140,30,11,800,250,15000,600,0,0,1,1,1392.4,0.050484,0.4193,0.40069,257.93
26.7,160,30,11,800,250,15000,600,0,0,1,1,1773.3,0.044555,0.38601,0.38665,271.19
26.8,180,30,11,800,250,15000,600,0,0,1,1,2162.1,0.039177,0.35407,0.36926,284.44
26.9,120,35,11,800,250,15000,600,0,0,1,1,1362.4,0.050484,0.4193,0.37925,257.93
27,140,35,11,800,250,15000,600,0,0,1,1,1807.6,0.043622,0.38059,0.36998,273.4
27.1,160,35,11,800,250,15000,600,0,0,1,1,2263.3,0.037494,0.34372,0.3535,288.86
